dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
B00001,2019-01-01 00:30:00,2019-01-01 02:51:55,,,
B00001,2019-01-01 00:45:00,2019-01-01 00:54:49,,,
B00001,2019-01-01 00:15:00,2019-01-01 00:54:52,,,
B00008,2019-01-01 00:19:00,2019-01-01 00:39:00,,,
B00008,2019-01-01 00:27:00,2019-01-01 00:37:00,,,
B00008,2019-01-01 00:48:00,2019-01-01 01:02:00,,,
B00008,2019-01-01 00:50:00,2019-01-01 00:59:00,,,
B00008,2019-01-01 00:51:00,2019-01-01 00:56:00,,,
B00009,2019-01-01 00:44:00,2019-01-01 00:58:00,,,
B00009,2019-01-01 00:19:00,2019-01-01 00:36:00,,,
B00009,2019-01-01 00:36:00,2019-01-01 00:49:00,,,
B00009,2019-01-01 00:26:00,2019-01-01 00:32:00,,,
B00009,2019-01-01 00:26:00,2019-01-01 00:36:00,,,
B00009,2019-01-01 00:58:00,2019-01-01 01:05:00,,,
B00013,2019-01-01 00:02:29,2019-01-02 00:25:30,,,
B00013,2019-01-01 00:01:33,2019-01-02 00:18:16,,,
B00037,2019-01-01 00:02:43,2019-01-01 00:10:14,,265,
B00037,2019-01-01 00:26:02,2019-01-01 00:37:00,,265,
B00037,2019-01-01 00:11:16,2019-01-01 00:25:41,,265,
B00037,2019-01-01 00:33:45,2019-01-01 00:45:28,,265,
B00037,2019-01-01 00:53:01,2019-01-01 01:08:22,,265,
B00037,2019-01-01 00:00:49,2019-01-01 00:05:53,,265,
B00037,2019-01-01 00:13:53,2019-01-01 00:19:37,,265,
B00037,2019-01-01 00:31:24,2019-01-01 00:36:28,,265,
B00037,2019-01-01 00:50:36,2019-01-01 01:02:21,,265,
B00039,2019-01-01 00:28:00,2019-01-01 03:28:51,,,
B00053,2019-01-01 00:16:07,2019-01-02 00:44:49,,,
B00056,2019-01-01 00:04:00,2019-01-01 00:18:00,,,
B00056,2019-01-01 00:44:00,2019-01-01 00:59:00,,,
B00056,2019-01-01 00:24:00,2019-01-01 00:39:00,,,
B00111,2019-01-01 00:17:38,2019-01-01 00:47:39,,265,
B00111,2019-01-01 00:15:37,2019-01-01 00:39:40,,265,
B00111,2019-01-01 00:59:47,2019-01-01 01:00:04,,265,
B00111,2019-01-01 00:34:40,2019-01-01 01:37:06,,265,
B00111,2019-01-01 00:26:41,2019-01-01 00:42:43,,265,
B00111,2019-01-01 00:40:40,2019-01-01 00:56:39,,265,
B00112,2019-01-01 00:01:53,2019-01-01 00:16:41,,265,
B00112,2019-01-01 00:34:34,2019-01-01 00:41:10,,265,
B00112,2019-01-01 00:53:40,2019-01-01 00:58:42,,265,
B00112,2019-01-01 00:28:25,2019-01-01 00:28:31,,265,
B00112,2019-01-01 00:53:28,2019-01-01 00:53:34,,265,
B00112,2019-01-01 00:05:24,2019-01-01 00:05:30,,265,
B00112,2019-01-01 00:46:42,2019-01-01 00:58:59,,265,
B00112,2019-01-01 00:45:56,2019-01-01 00:46:01,,265,
B00112,2019-01-01 00:04:26,2019-01-01 00:14:56,,265,
B00112,2019-01-01 00:50:19,2019-01-01 00:54:16,,265,
B00131,2019-01-01 00:39:24,2019-01-01 00:45:02,,265,
B00131,2019-01-01 00:48:18,2019-01-01 00:59:39,,265,
B00149,2019-01-01 00:26:38,2019-01-01 00:43:15,,265,
