dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
B00001,2020-01-01 00:30:00,2020-01-01 01:44:00,264,264,
B00001,2020-01-01 00:30:00,2020-01-01 00:47:00,264,264,
B00009,2020-01-01 00:48:00,2020-01-01 01:19:00,264,264,
B00009,2020-01-01 00:34:00,2020-01-01 00:43:00,264,264,
B00009,2020-01-01 00:23:00,2020-01-01 00:32:00,264,264,
B00009,2020-01-01 00:52:00,2020-01-01 01:01:00,264,264,
B00013,2020-01-01 00:20:30,2020-01-01 00:45:52,264,264,
B00013,2020-01-01 00:08:15,2020-01-01 00:12:03,264,264,
B00013,2020-01-01 00:40:30,2020-01-01 01:06:23,264,264,
B00014,2020-01-01 00:53:04,2020-01-01 01:19:13,264,264,
B00031,2020-01-01 00:03:00,2020-01-01 00:05:00,264,264,
B00037,2020-01-01 00:37:39,2020-01-01 00:47:36,264,61,
B00037,2020-01-01 00:58:29,2020-01-01 01:06:31,264,72,
B00037,2020-01-01 00:56:16,2020-01-01 01:06:23,264,91,
B00037,2020-01-01 00:08:33,2020-01-01 00:22:16,264,72,
B00037,2020-01-01 00:30:35,2020-01-01 00:38:41,264,61,
B00037,2020-01-01 00:46:03,2020-01-01 01:07:10,264,35,
B00037,2020-01-01 00:17:10,2020-01-01 00:25:49,264,72,
B00037,2020-01-01 00:40:56,2020-01-01 01:01:26,264,188,
B00037,2020-01-01 00:45:32,2020-01-01 00:53:38,264,188,
B00037,2020-01-01 00:24:48,2020-01-01 00:44:31,264,177,
B00037,2020-01-01 00:53:46,2020-01-01 01:17:11,264,91,
B00037,2020-01-01 00:29:51,2020-01-01 00:49:51,264,62,
B00037,2020-01-01 00:56:06,2020-01-01 00:58:09,264,39,
B00039,2020-01-01 00:30:00,2020-01-01 02:18:54,264,264,
B00039,2020-01-01 00:20:00,2020-01-01 02:18:59,264,264,
B00078,2020-01-01 00:45:00,2020-01-01 04:43:08,264,264,
B00078,2020-01-01 00:30:00,2020-01-01 01:48:45,264,264,
B00111,2020-01-01 00:43:35,2020-01-01 01:13:39,264,262,
B00111,2020-01-01 00:05:39,2020-01-01 00:53:35,264,265,
B00111,2020-01-01 00:28:35,2020-01-01 01:20:39,264,265,
B00112,2020-01-01 00:19:21,2020-01-01 00:31:07,264,22,
B00112,2020-01-01 00:44:14,2020-01-01 00:58:24,264,14,
B00112,2020-01-01 00:24:52,2020-01-01 00:39:36,264,14,
B00112,2020-01-01 00:46:28,2020-01-01 00:50:51,264,14,
B00112,2020-01-01 00:18:42,2020-01-01 00:21:43,264,14,
B00112,2020-01-01 00:19:12,2020-01-01 00:25:00,264,14,
B00112,2020-01-01 00:28:11,2020-01-01 00:34:51,264,14,
B00112,2020-01-01 00:39:39,2020-01-01 00:45:01,264,14,
B00112,2020-01-01 00:29:53,2020-01-01 00:29:57,264,21,
B00112,2020-01-01 00:20:03,2020-01-01 00:26:48,264,14,
B00112,2020-01-01 00:55:24,2020-01-01 01:04:52,264,14,
B00149,2020-01-01 00:20:44,2020-01-01 00:27:10,264,61,
B00149,2020-01-01 00:38:12,2020-01-01 00:56:10,264,39,
B00149,2020-01-01 00:13:12,2020-01-01 00:17:11,264,61,
B00149,2020-01-01 00:59:14,2020-01-01 01:11:11,264,35,
B00149,2020-01-01 00:24:12,2020-01-01 00:27:11,264,62,
B00149,2020-01-01 00:37:12,2020-01-01 00:45:12,264,17,
B00149,2020-01-01 00:00:11,2020-01-01 00:13:11,264,80,
B00149,2020-01-01 00:39:13,2020-01-01 01:01:11,264,177,
B00149,2020-01-01 00:21:11,2020-01-01 00:31:11,264,225,
B00149,2020-01-01 00:55:13,2020-01-01 00:58:13,264,61,
B00160,2020-01-01 00:21:00,2020-01-01 00:26:00,264,264,
B00160,2020-01-01 00:45:00,2020-01-01 00:59:00,264,264,
B00202,2020-01-01 00:16:23,2020-01-01 00:59:42,264,264,
B00221,2020-01-01 00:15:32,2020-01-01 00:15:33,264,243,
B00221,2020-01-01 00:11:59,2020-01-01 00:18:53,264,244,
B00221,2020-01-01 00:35:36,2020-01-01 00:39:15,264,243,
B00221,2020-01-01 00:51:29,2020-01-01 00:53:57,264,244,
B00221,2020-01-01 00:08:36,2020-01-01 00:20:12,264,244,
B00221,2020-01-01 00:36:11,2020-01-01 00:46:34,264,243,
B00221,2020-01-01 00:24:46,2020-01-01 00:41:28,264,243,
B00221,2020-01-01 00:51:46,2020-01-01 01:04:25,264,244,
B00221,2020-01-01 00:13:15,2020-01-01 00:18:18,264,244,
B00221,2020-01-01 00:49:09,2020-01-01 00:52:46,264,244,
B00221,2020-01-01 00:09:21,2020-01-01 00:09:22,264,244,
B00221,2020-01-01 00:40:31,2020-01-01 01:02:55,264,243,
B00225,2020-01-01 00:34:51,2020-01-01 01:06:51,264,232,
B00225,2020-01-01 00:19:15,2020-01-01 00:24:17,264,4,
B00227,2020-01-01 00:30:00,2020-01-01 01:06:00,264,264,
B00227,2020-01-01 00:30:00,2020-01-01 00:52:00,264,264,
B00235,2020-01-01 00:13:40,2020-01-01 01:00:00,264,264,
B00248,2020-01-01 00:24:45,2020-01-01 00:33:51,264,121,
B00248,2020-01-01 00:44:34,2020-01-01 00:51:00,264,129,
B00248,2020-01-01 00:59:52,2020-01-01 01:06:40,264,197,
B00248,2020-01-01 00:14:02,2020-01-01 00:40:05,264,227,
B00248,2020-01-01 00:21:21,2020-01-01 00:28:15,264,92,
B00248,2020-01-01 00:36:00,2020-01-01 00:44:13,264,192,
B00248,2020-01-01 00:52:49,2020-01-01 01:05:38,264,171,
B00248,2020-01-01 00:43:18,2020-01-01 01:50:27,264,265,
B00248,2020-01-01 00:09:43,2020-01-01 00:20:46,264,192,
B00248,2020-01-01 00:31:19,2020-01-01 01:03:48,264,92,
B00248,2020-01-01 00:56:13,2020-01-01 01:06:16,264,171,
B00248,2020-01-01 00:02:00,2020-01-01 00:12:04,264,92,
B00248,2020-01-01 00:36:14,2020-01-01 00:42:20,264,73,
B00248,2020-01-01 00:46:30,2020-01-01 00:53:00,264,92,
B00248,2020-01-01 00:55:37,2020-01-01 01:10:27,264,16,
B00248,2020-01-01 00:34:32,2020-01-01 00:43:51,264,53,
B00248,2020-01-01 00:54:59,2020-01-01 01:04:25,264,16,
B00254,2020-01-01 00:44:05,2020-01-01 01:06:36,239,107,
B00254,2020-01-01 00:33:29,2020-01-01 00:38:38,43,236,
B00254,2020-01-01 00:40:09,2020-01-01 01:04:55,236,33,
B00254,2020-01-01 00:22:51,2020-01-01 00:35:41,237,170,
B00254,2020-01-01 00:41:20,2020-01-01 01:07:52,13,37,
B00254,2020-01-01 00:27:49,2020-01-01 00:58:49,13,208,
