hvfhs_license_num,dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
HV0003,B02864,2020-01-01 00:45:34,2020-01-01 01:02:20,148,90,
HV0003,B02682,2020-01-01 00:47:50,2020-01-01 00:53:23,114,79,
HV0003,B02764,2020-01-01 00:04:37,2020-01-01 00:21:49,4,125,
HV0003,B02764,2020-01-01 00:26:36,2020-01-01 00:33:00,231,113,
HV0003,B02764,2020-01-01 00:37:49,2020-01-01 00:46:59,114,144,
HV0003,B02764,2020-01-01 00:49:23,2020-01-01 01:07:26,144,137,
HV0003,B02870,2020-01-01 00:21:11,2020-01-01 00:36:58,249,148,
HV0003,B02870,2020-01-01 00:38:28,2020-01-01 00:42:38,148,4,
HV0003,B02870,2020-01-01 00:46:26,2020-01-01 01:09:55,79,7,
HV0003,B02836,2020-01-01 00:15:35,2020-01-01 00:23:21,140,236,
HV0003,B02836,2020-01-01 00:28:04,2020-01-01 01:13:35,75,149,
HV0003,B02875,2020-01-01 00:14:22,2020-01-01 00:40:02,33,229,
HV0003,B02875,2020-01-01 00:45:02,2020-01-01 00:59:11,229,74,
HV0003,B02764,2020-01-01 00:16:55,2020-01-01 00:42:36,114,238,
HV0003,B02617,2020-01-01 00:40:01,2020-01-01 00:45:22,85,89,
HV0003,B02617,2020-01-01 00:55:45,2020-01-01 01:25:10,61,202,
HV0003,B02883,2020-01-01 00:28:57,2020-01-01 01:18:07,162,265,
HV0003,B02872,2020-01-01 00:20:35,2020-01-01 00:22:35,71,71,
HV0003,B02872,2020-01-01 00:26:49,2020-01-01 00:35:32,71,35,
HV0003,B02872,2020-01-01 00:45:19,2020-01-01 01:07:05,61,76,
HV0005,B02510,2020-01-01 00:47:44,2020-01-01 00:55:29,113,170,
HV0005,B02510,2020-01-01 00:58:37,2020-01-01 01:15:57,162,79,
HV0003,B02764,2020-01-01 00:19:26,2020-01-01 00:38:25,87,79,
HV0005,B02510,2020-01-01 00:14:01,2020-01-01 00:35:47,50,186,
HV0005,B02510,2020-01-01 00:46:13,2020-01-01 01:46:38,186,6,1
HV0005,B02510,2020-01-01 00:06:52,2020-01-01 00:24:13,145,95,
HV0005,B02510,2020-01-01 00:28:18,2020-01-01 00:45:13,95,226,
HV0005,B02510,2020-01-01 00:47:51,2020-01-01 00:55:47,226,7,
HV0003,B02682,2020-01-01 00:16:17,2020-01-01 00:50:37,211,265,
HV0005,B02510,2020-01-01 00:19:35,2020-01-01 00:37:30,255,49,
HV0005,B02510,2020-01-01 00:41:21,2020-01-01 01:06:08,189,36,
HV0003,B02882,2020-01-01 00:25:03,2020-01-01 00:37:34,237,229,
HV0003,B02869,2020-01-01 00:17:54,2020-01-01 00:46:25,249,36,
HV0003,B02869,2020-01-01 00:54:51,2020-01-01 01:14:53,37,177,
HV0005,B02510,2020-01-01 00:43:30,2020-01-01 01:23:49,148,85,1
HV0005,B02510,2020-01-01 00:53:32,2020-01-01 01:09:38,148,17,1
HV0003,B02764,2020-01-01 00:51:12,2020-01-01 01:08:50,164,140,
HV0003,B02836,2020-01-01 00:06:11,2020-01-01 00:20:25,229,148,
HV0003,B02836,2020-01-01 00:21:27,2020-01-01 00:33:12,148,33,
HV0003,B02836,2020-01-01 00:41:40,2020-01-01 00:56:17,54,249,
HV0003,B02875,2020-01-01 00:31:21,2020-01-01 00:47:32,68,13,
HV0003,B02875,2020-01-01 00:54:17,2020-01-01 01:10:00,231,25,
HV0003,B02887,2020-01-01 00:18:47,2020-01-01 00:41:46,170,166,
HV0003,B02887,2020-01-01 00:46:24,2020-01-01 00:48:10,166,166,
HV0003,B02887,2020-01-01 00:56:04,2020-01-01 01:19:51,24,170,
HV0003,B02764,2020-01-01 00:47:17,2020-01-01 01:01:42,33,233,
HV0003,B02764,2020-01-01 00:50:09,2020-01-01 01:09:54,52,107,
HV0005,B02510,2020-01-01 00:09:32,2020-01-01 00:26:00,166,263,
HV0005,B02510,2020-01-01 00:30:00,2020-01-01 00:42:15,263,239,
HV0005,B02510,2020-01-01 00:47:04,2020-01-01 01:15:29,238,159,
HV0003,B02764,2020-01-01 00:41:13,2020-01-01 01:14:53,237,181,
HV0005,B02510,2020-01-01 00:27:12,2020-01-01 00:43:57,148,164,
HV0003,B02765,2020-01-01 00:10:54,2020-01-01 00:21:48,246,143,
HV0003,B02765,2020-01-01 00:27:18,2020-01-01 00:32:09,142,48,
HV0003,B02765,2020-01-01 00:43:46,2020-01-01 01:02:25,48,68,
